query,clicks,impressions
obligación de crédito de dinero,1113,3607
televisión inteligente,401,1066
argentina vs francia en vivo,156,12158
argentina vs francia juegos olimpicos,538,128736
cuando juega argentina sub 23,121,12989
burlando,108,490
argentina voley,145,3282
resultado argentina vs francia,167,9146
las leonas,755,6693
loan hoy,313,1351
travis scott,169,4010
leones,169,1250
furia gran hermano,214,2332
los leones hockey,192,1880
voley juegos olimpicos,146,7011
loan,277,1509
francia vs argentina,351,44186
argentina vs alemania voley,124,2854
voley argentina,614,11383
gonzalo peillat,143,593
seleccion argentina,120,3213
ráfaga,117,599
los leones,1018,8045
argentina sub 23,124,6279
jjoo argentina,233,6102
los leones juegos olimpicos,376,6250
angela carini,104,1384
ministerio de capital humano de argentina,350,1153
ultimas noticias,328,1721
arg vs francia jjoo,120,4695
dolar blue hoy,384,12501
las leonas juegos olimpicos,386,5536
foto de loan en colombia,2348,18443
partido argentina,111,6025
selección de fútbol sub-23 de argentina,142,3234
dólar blue hoy minuto a minuto,173,1423
juegos olímpicos 2024,114,4809
gran hermano,124,1339
los leones,218,1759
juegos olimpicos futbol argentina,192,3165
seleccion sub 23,228,6169
boxeo femenino olimpico,140,1647
imane khelif,347,6909
playstation 4,240,430
argentina vs francia jjoo,257,7374
administración nacional de la seguridad social,4110,9957
torneo preolímpico sudamericano sub-23,871,1737
registro del automotor,350,834
todo noticias,177,236
boxeadora,212,1620
anonymous,209,2368
venezuela,345,3683
viento,121,384
patente,512,1253
mario fassi,279,3781
leonas juegos olimpicos,129,3719
argentina francia,172,2701
ford maverick pickup,797,1377
que dijo milei de la boxeadora,132,332
yerba cosmico,235,2029
julieta poggio,558,1788
las leonas juegos olimpicos,105,1446
los leones juegos olimpicos,123,2495
gallardo,442,6566
selección de fútbol de francia,140,275
las leonas,2005,42068
juegos olimpicos,185,6404
sub 23,290,3673
anonymous venezuela,153,1202
boxeadora argelina,869,6167
ultimas noticias,298,1775
juegos olimpicos boxeo femenino,118,1205
river,229,12292
caso loan,120,2174
boxeo femenino olimpico,315,2078
marina señuk,110,596
las leonas,340,8910
imane khelif,137,1453
fabri maida,383,1084
mercado negro de divisas,396,2086
playstation 4,151,225
playstation 4,225,395
anonymous venezuela,253,2874
cheque escolar,110,186
belen casetta,365,3284
daniela celis y thiago medina,370,2506
argentina vs alemania hockey,220,5351
asesinaron a la viuda de un desaparecido,202,393
keenan hockey,124,637
independiente,174,8425
luana alonso,201,9321
universidad de buenos aires,158,223
voucher educativo agosto 2024 fecha de cobro,185,505
los leones,1642,29537
gonzalo peillat,3328,57916
accidente colectivo florencio varela,181,5890
cesar peña hermano de loan,107,658
thiago medina,207,7071
argentina alemania hockey,275,9266
la casa del dragón,169,682
djokovic,329,25143
peillat,327,4633
fiat cronos,112,231
la casa del dragón temporada 3,181,1387
flor habif,222,629
depósito a plazo fijo,130,2351
luana alonso que hizo,114,276
luana alonso,204,2111
tasa de interés,479,879
zac efron,544,13399
meza river,116,421
boca,290,83750
river,125,2942
foto de loan en colombia,308,4292
